Capacity,Probability,Cumulative Probability
0.0,0.8315615999999999,1.0
100.0,0.0257184,0.1684384000000001
200.0,0.0007954144329896907,0.14272000000000007
300.0,0.0010962004463811242,0.14192458556701038
400.0,0.001551831786941581,0.14082838512062923
500.0,0.05337833421052631,0.1392765533336876
600.0,0.002030777793167129,0.08589821912316131
700.0,0.0022623711340206184,0.08386744132999413
800.0,0.0001548,0.08160507019597352
900.0,0.00026343157894736846,0.0814502701959735
1000.0,3.6e-06,0.08118683861702614
